Name,Phone Number,Room,Transportation,Departure Date,Arrival One,LOR One,Mileage One,Date Two,LOR Two,Other Name,Address,Other Number,Confirmation Number,Lodging Type,Visitor 1 Name,Visitor 1 Number,Visitor 1 Relationship,Visitor 2 Name,Visitor 2 Number,Visitor 2 Relationship,Student Signature,Grade,Date Briefed,Briefed By,Status
James Rodriguez,865.437.4135x552,829,POV,2025-07-19,East Robertland,2,71,2025-08-12,5,Heather Hernandez,"27933 Blake Court Apt. 832, Lake Davidshire, KS 41687",695.915.2418x565,926909,Residence,Mary Leblanc,703-515-6130x15692,Spouse,Cassie Sanchez,+1-205-921-4696,Friend,Shaun Lucas,E4,2025-08-01,Monica Lopez,Pending
Jeremy Kelly,858-581-4806,331,Train,2025-07-13,Port Lisaborough,3,768,2025-08-07,4,Elizabeth Aguilar DDS,"USNV Miller, FPO AE 18450",364.248.1666x143,653898,Hotel,Zachary Mueller,3765876872,Family,Kevin West,320.731.6359,Family,Tracy Bryan,E3,2025-08-04,Christopher Morgan,Pending
Susan Sharp,001-891-275-2861x397,103,Bus,2025-07-14,East Jamie,4,272,2025-09-05,5,Michelle Norris,"158 Hernandez Circle, East Jamesshire, AL 48259",875.408.1934x0798,401543,Hotel,Mark Jimenez,(380)224-8275x0557,Friend,Gregory Kelly,7056084503,Family,John Benson,E3,2025-08-03,Ashley Ellis,Pending
Jason Hernandez,+1-861-807-9766x6958,995,POV,2025-07-10,Port Timothy,5,134,2025-08-27,5,Lori West,"445 Peterson Vista Suite 784, West Amberchester, CA 23467",367.520.4149x018,425503,Other,Adrienne Greene,001-983-531-4418x6500,Spouse,Kelsey Stevenson,001-567-549-5393x104,Spouse,Barbara Brooks,E2,2025-08-04,Sandra Smith,Pending
Jason Mcintyre,+1-262-651-8265x28895,231,Train,2025-07-12,Port Shannonshire,3,814,2025-08-22,2,Patrick Butler,"35750 Hailey Points Suite 259, New Juan, GA 94289",(352)645-9216,809527,Hotel,Thomas Smith,723.378.2041,Friend,Kevin Livingston,343-755-7452,Spouse,Linda Dean,E4,2025-08-02,Russell Hardy,Pending
Alice Powers,427.949.6379x94595,804,POV,2025-07-09,Lake Jerry,5,549,2025-08-29,1,Jessica Hurley,"60173 Johnson Village Apt. 969, Michaelshire, LA 53966",+1-302-649-2791x041,850487,Residence,Dr. Robert Vazquez,001-777-676-6750x9798,Family,Miss Linda Hoffman DDS,906-840-3591x7274,Spouse,Craig Leonard,E1,2025-08-06,Jamie Sims,Pending
John Cisneros,993.263.1771,312,Bus,2025-08-01,Michaeltown,4,413,2025-08-20,4,Tara Everett,"92152 Klein Terrace, Melissaside, HI 86717",001-941-676-3933x5341,463059,Other,Scott Sanchez,824-545-8979,Spouse,Jennifer Anderson,382.969.9781x481,Friend,Kevin Velez,E4,2025-08-06,Angel Rios,Pending
Timothy Mckinney,239.827.2427x99155,955,Train,2025-07-15,New Markstad,1,622,2025-08-09,3,Denise Barnett,"641 Ross Mills Suite 196, West Laura, MD 15429",6985364131,736226,Residence,Charles Cook,+1-226-893-5640,Family,Charles Salas,001-793-810-2932x984,Family,William Blake,E4,2025-08-04,Heidi Larson,Pending
Ashley Barnes,001-352-529-4130x239,829,Air,2025-07-22,Parkerview,1,63,2025-08-25,1,Ann Hays,"Unit 5561 Box 6432, DPO AA 95348",+1-886-635-4364x06341,805533,Other,Emily Gibson,471-219-3748,Family,Nicole Morrison,303.379.8513x014,Friend,David Murray,E2,2025-08-01,Suzanne Brown,Pending
Barbara Wang,001-875-584-4064x2417,513,Bus,2025-07-17,Jacobsburgh,3,165,2025-08-19,5,David Clarke DDS,"943 Samantha Stream, Jeffreyfurt, VI 67777",672-928-9851x736,934888,Hotel,Lori Stevenson,523.692.2910,Spouse,Kevin Abbott,652.286.6955,Spouse,Julie Moore,E4,2025-08-01,Willie Davis,Pending

